,richness,shannon,invsimpson,simpson,pielou,PD
X09_10S_H_C_1,580,4.639170992,34.95708563,0.971393496,0.729082273,8.65054
X09_11S_N_C_0,531,3.780549282,7.261067853,0.86227921,0.602500823,9.29656
X09_12S_N_C_2,637,4.569471084,24.02015986,0.958368304,0.707702354,9.93487
X09_13S_N_C_0,658,4.462626365,20.32055799,0.950788753,0.687700021,9.35757
X09_14S_N_C_2,593,4.088208096,17.92718037,0.94421878,0.640263685,9.42521
X09_15S_H_C_0,642,4.4804796,28.22996599,0.964576649,0.693080424,11.23743
X09_16S_H_C_1,490,3.659534225,9.898784056,0.898977491,0.59078055,7.8955
X09_17S_N_C_2,602,4.496770357,25.22630293,0.960358836,0.702592106,8.0866
X09_18S_H_C_0,507,4.14485219,24.03969757,0.958402139,0.665464376,8.9161
X09_19S_N_C_1,630,4.271279302,11.4101587,0.9123588,0.662653578,9.59619
X09_1S_H_C_1,374,3.339569156,9.823898416,0.898207416,0.563711168,7.51315
X09_20S_H_C_1,521,3.245601515,3.874455679,0.741899228,0.518818925,7.88868
X09_21S_H_C_2,564,3.785986186,7.855796927,0.872705467,0.597624904,8.37387
X09_22S_H_C_2,476,3.782018939,15.12142353,0.93386866,0.613424593,7.59949
X09_23S_N_C_1,638,4.863901878,43.70942755,0.97712164,0.753119714,8.68766
X09_24S_N_C_0,604,4.623022612,31.47388764,0.96822763,0.7219441,7.76819
X09_2S_H_C_0,409,3.121646257,4.815515742,0.792337923,0.519087814,6.77946
X09_3S_N_C_1,442,3.071109449,6.992967457,0.856999192,0.504178823,8.85943
X09_4S_H_C_2,346,1.755223834,1.930081138,0.481887067,0.300221024,7.01575
X09_5S_H_C_0,385,3.509502342,12.9451218,0.922750823,0.589510985,7.75215
X09_6S_N_C_1,541,3.40217565,5.882086153,0.829992289,0.540592562,8.80544
X09_7S_H_C_2,445,3.216221494,6.658905274,0.849825165,0.527415926,8.47518
X09_8S_N_C_0,556,4.522614243,33.75367037,0.970373592,0.715516537,8.11152
X09_9S_N_C_2,752,5.156262195,74.27522335,0.98653656,0.778569755,11.99026
X10_10N_H_N_1,420,3.620491,15.50644361,0.93551068,0.599393763,8.36082
X10_10S_H_C_1,412,3.896115619,16.07428347,0.937788829,0.647085286,8.47188
X10_11N_N_N_0,602,4.843841617,55.91829742,0.982116766,0.756819809,9.40646
X10_11S_N_C_0,109,0.819852859,1.34746296,0.257864573,0.174758487,3.96932
X10_12N_N_N_2,343,3.898400016,15.64529565,0.936083023,0.667793769,4.97921
X10_12S_N_C_2,404,3.744560761,14.87897006,0.932791047,0.623946326,6.34511
X10_13N_N_N_0,337,3.598021588,15.53686622,0.935636956,0.618207959,6.47585
X10_13S_N_C_0,483,3.927730567,20.32962494,0.950810701,0.635553395,10.19133
X10_14N_N_N_2,358,3.59115366,12.79023571,0.921815358,0.610685064,6.75155
X10_14S_N_C_2,426,3.872518371,19.284849,0.948145822,0.639616346,6.76526
X10_15N_H_N_0,270,2.393756844,5.160289318,0.806212416,0.427577068,7.3315
X10_15S_H_C_0,258,2.948670304,7.397549736,0.864820105,0.531008782,4.28498
X10_16N_H_N_1,201,2.217739093,3.312940672,0.698153363,0.418180575,4.0518
X10_16S_H_C_1,228,2.555709856,5.412980667,0.8152589,0.470721525,4.1411
X10_17N_N_N_2,356,3.443886534,12.48675484,0.919915141,0.586200364,5.90488
X10_17S_N_C_2,348,2.77104279,4.229251988,0.763551568,0.473504257,7.57368
X10_18N_H_N_0,357,2.650852212,3.394251879,0.705384269,0.450998873,8.03868
X10_18S_H_C_0,348,3.640579993,15.26217141,0.934478524,0.622087155,8.09131
X10_19N_N_N_1,498,4.09898451,22.60150394,0.955755157,0.659998142,9.26416
X10_19S_N_C_1,171,1.158624315,1.550310423,0.354967892,0.22534036,4.14272
X10_1N_H_N_1,235,2.947350217,9.766829395,0.897612627,0.539848714,3.92692
X10_1S_H_C_1,277,2.085198079,2.381864703,0.580160872,0.370766641,5.52801
X10_20N_H_N_1,306,2.932119488,6.871099245,0.854462879,0.512287218,5.9494
X10_20S_H_C_1,461,4.134303823,24.29437669,0.958838211,0.674064164,6.87425
X10_21N_H_N_2,148,1.76190792,2.430874543,0.588625418,0.352578162,2.43482
X10_21S_H_C_2,181,2.645233235,5.088535422,0.8034798,0.508845772,2.65226
X10_22N_H_N_2,343,3.295036469,11.39472083,0.912240061,0.564437927,5.76534
X10_22S_H_C_2,302,1.990785247,2.192967779,0.543996948,0.348622833,4.57036
X10_23N_N_N_1,377,2.888829073,5.609219858,0.821722089,0.486970613,7.89838
X10_23S_N_C_1,216,2.111940236,2.879411999,0.652706872,0.392898763,4.02556
X10_24N_N_N_0,361,2.457288607,2.743806109,0.635542761,0.417276198,6.92643
X10_24S_N_C_0,443,3.247195429,5.639258836,0.822671732,0.532888857,8.36583
X10_2N_H_N_0,401,3.686148435,16.2801503,0.938575506,0.614977003,7.29733
X10_2S_H_C_0,334,3.662642968,17.18257487,0.941801505,0.630279488,5.71664
X10_3N_N_N_1,300,3.442241503,14.20910506,0.929622591,0.603501539,5.05285
X10_3S_N_C_1,267,3.071892968,8.831062882,0.886763347,0.549804234,4.48285
X10_4N_H_N_2,546,4.129007081,17.49320797,0.942834956,0.655125607,11.25867
X10_4S_H_C_2,325,3.058267743,9.661750545,0.896499087,0.528762133,5.9613
X10_5N_H_N_0,515,4.222533494,20.19307001,0.95047806,0.676236488,11.95262
X10_5S_H_C_0,349,3.140745994,8.095981265,0.876481928,0.536414588,7.15731
X10_6N_N_N_1,542,4.328274673,22.09698065,0.954744948,0.687544366,10.33508
X10_6S_N_C_1,531,4.297201237,29.69458559,0.966323827,0.684838919,9.38554
X10_7N_H_N_2,114,1.09136415,2.264957108,0.558490535,0.23043041,3.10004
X10_7S_H_C_2,537,4.115611623,16.75603992,0.940320028,0.654726833,11.37014
X10_8N_N_N_0,498,4.535896763,42.71019553,0.976586387,0.730347584,8.71891
X10_8S_N_C_0,157,1.684606935,2.249331593,0.555423485,0.333173465,3.19475
X10_9N_N_N_2,247,1.967043034,2.368636497,0.577816182,0.35703474,5.61607
X10_9S_N_C_2,329,3.580712482,16.36374283,0.938889287,0.617784128,4.80568
X11_10N_H_N_1,511,3.813393232,10.72571583,0.90676613,0.611476465,9.87492
X11_10S_H_C_1,390,3.700971639,10.48248812,0.904602802,0.620328631,9.00993
X11_11N_N_N_0,266,2.926688245,8.286297447,0.879318839,0.524167669,6.29436
X11_11S_N_C_0,468,4.327092687,30.3951779,0.967100045,0.703767586,9.51749
X11_12N_N_N_2,433,4.234653994,26.2730154,0.961938134,0.697551794,8.64485
X11_12S_N_C_2,478,4.357551941,30.58669327,0.967306044,0.706292849,10.39485
X11_13N_N_N_0,338,3.440386755,11.05339893,0.909530091,0.590822538,6.45302
X11_13S_N_C_0,379,3.812666647,14.63685234,0.9316793,0.642129414,7.65454
X11_14N_N_N_2,406,2.868748471,3.55764729,0.718915362,0.477619013,8.8759
X11_14S_N_C_2,508,3.952300216,13.68867058,0.926946887,0.634349087,9.73099
X11_15N_H_N_0,219,2.862093735,7.086100304,0.858878656,0.531092158,5.7361
X11_15S_H_C_0,245,1.787133042,2.03701993,0.509086786,0.324858964,6.25449
X11_16N_H_N_1,370,3.854624037,23.29336361,0.957069317,0.651834291,8.23521
X11_16S_H_C_1,167,2.688995328,7.259595868,0.862251285,0.525400269,3.67899
X11_17N_N_N_2,410,3.116368998,6.293526551,0.841106573,0.517999932,9.14054
X11_17S_N_C_2,506,4.019575521,16.18893576,0.938229417,0.645555585,10.36895
X11_18N_H_N_0,372,3.610146046,15.19318433,0.934181013,0.609935933,8.72657
X11_18S_H_C_0,262,3.174349396,8.936788149,0.888102976,0.570070583,4.95064
X11_19N_N_N_1,499,4.187293931,18.96675464,0.947276167,0.673999585,9.99355
X11_19S_N_C_1,224,2.01730581,2.702404378,0.629959155,0.372771203,5.79829
X11_1N_H_N_1,318,3.243624835,7.96660113,0.874475955,0.562928829,8.2049
X11_1S_H_C_1,428,3.97795727,13.8594675,0.927847156,0.656523583,9.62713
X11_20N_H_N_1,280,2.599666921,4.490520855,0.777308684,0.461360069,6.79406
X11_20S_H_C_1,292,2.604959471,3.864034414,0.741203133,0.458881882,7.45489
X11_21N_H_N_2,396,3.698304597,13.35841227,0.925140804,0.618299363,6.72042
X11_21S_H_C_2,329,3.475781581,13.81644124,0.927622462,0.599680288,8.29539
X11_22N_H_N_2,303,2.87351662,5.999450486,0.833318068,0.50291407,6.01914
X11_22S_H_C_2,184,2.220581633,3.57697749,0.72043436,0.425811887,3.25049
X11_23N_N_N_1,453,3.959619724,18.7232252,0.946590398,0.647431257,9.24496
X11_23S_N_C_1,475,4.185168106,23.45922073,0.957372838,0.679045001,10.1936
X11_24N_N_N_0,351,3.742162344,18.08540113,0.944706783,0.638508589,5.69317
X11_24S_N_C_0,268,2.806416297,5.599474961,0.821411828,0.501953646,5.58813
X11_2N_H_N_0,391,3.483097727,8.374789755,0.880594017,0.583559789,7.04405
X11_2S_H_C_0,419,3.853210628,16.1346597,0.938021624,0.638173734,10.15019
X11_3N_N_N_1,442,3.645118369,8.997752098,0.88886113,0.598412893,7.88821
X11_3S_N_C_1,450,3.948518747,12.31841525,0.918820727,0.646318338,10.8332
X11_4N_H_N_2,259,2.768652578,6.447627224,0.844904185,0.498243341,8.38166
X11_4S_H_C_2,433,3.610968761,10.58413583,0.905518975,0.594815478,9.26677
X11_5N_H_N_0,277,3.004039488,8.452536408,0.881692317,0.534144761,7.32972
X11_5S_H_C_0,329,3.585936275,11.95852099,0.916377619,0.618685394,8.75619
X11_6N_N_N_1,303,3.145735885,8.681987618,0.884819002,0.550557051,6.2008
X11_6S_N_C_1,431,4.044666283,20.73776946,0.951778806,0.666764625,7.60123
X11_7N_H_N_2,69,0.360081937,1.132816203,0.117244265,0.085043193,2.18777
X11_7S_H_C_2,226,2.525784229,6.742245113,0.851681453,0.465965856,3.56185
X11_8N_N_N_0,394,3.879075677,16.89221291,0.940801125,0.649070936,8.03075
X11_8S_N_C_0,364,3.69987157,14.40590523,0.930584022,0.627399531,8.14555
X11_9N_N_N_2,481,4.461003974,33.66989616,0.970299879,0.722328343,7.07761
X11_9S_N_C_2,469,4.236479788,27.44922339,0.963569097,0.688790993,10.26016
X12_10N_H_N_1,424,3.801631745,15.505765,0.935507858,0.628396569,9.64295
X12_10S_H_C_1,397,4.047573319,22.83967026,0.956216531,0.676406487,8.07825
X12_11N_N_N_0,310,3.019309723,10.15467604,0.9015232,0.526326448,7.22285
X12_11S_N_C_0,253,2.394039049,6.156638415,0.8375737,0.432653269,5.40483
X12_12N_N_N_2,337,3.764916782,18.25262131,0.945213349,0.6468837,6.4243
X12_12S_N_C_2,249,1.624593744,1.794929032,0.442874909,0.294446328,8.11292
X12_13N_N_N_0,361,3.657096113,16.02463377,0.937596078,0.621017474,6.69247
X12_13S_N_C_0,470,4.289726393,28.61138696,0.965048881,0.697206689,9.1923
X12_14N_N_N_2,206,2.768389634,7.567725117,0.867859894,0.519604725,4.0674
X12_14S_N_C_2,526,4.109939701,11.6894938,0.914453096,0.655984375,10.94406
X12_15N_H_N_0,271,3.121256636,7.939315952,0.874044564,0.55715645,7.27348
X12_15S_H_C_0,316,3.782316402,18.09096343,0.944723784,0.657137909,10.52208
X12_16N_H_N_1,289,2.929646659,7.521401543,0.867046056,0.517018365,8.99959
X12_16S_H_C_1,293,3.229716864,8.215124593,0.878273301,0.568594845,8.98909
X12_17N_N_N_2,326,2.943148528,6.97909416,0.856714929,0.508588339,6.90922
X12_17S_N_C_2,311,3.040433621,7.608828335,0.86857372,0.529711379,6.73539
X12_18N_H_N_0,168,2.334278654,5.561105797,0.820179648,0.455561098,3.86957
X12_18S_H_C_0,258,2.533907934,4.812122517,0.792191492,0.456316653,6.91816
X12_19N_N_N_1,477,4.173773073,16.68718755,0.940073784,0.676734806,11.66587
X12_19S_N_C_1,416,3.001691528,6.170759308,0.837945389,0.497736393,10.28448
X12_1N_H_N_1,414,4.013296115,22.73340006,0.956011859,0.666011513,10.33321
X12_1S_H_C_1,278,3.232724116,10.67786499,0.90634832,0.574438835,5.66448
X12_20N_H_N_1,274,2.768803744,6.914992817,0.85538669,0.493272858,7.23873
X12_20S_H_C_1,405,4.325172883,36.34305207,0.972484424,0.720395443,10.27754
X12_21N_H_N_2,361,3.559651583,12.67050198,0.921076529,0.604470259,10.36425
X12_21S_H_C_2,332,3.546975422,14.54169034,0.931232204,0.611006538,9.05044
X12_22N_H_N_2,330,3.281412461,11.00988297,0.909172513,0.56584929,6.9781
X12_22S_H_C_2,604,4.71303832,34.16080723,0.970726687,0.736001204,11.44239
X12_23N_N_N_1,384,3.748713666,16.75975113,0.940333243,0.629967879,5.86527
X12_23S_N_C_1,483,4.219655809,23.14474882,0.956793655,0.682790362,9.54256
X12_24N_N_N_0,423,3.823605542,13.37150798,0.925214119,0.632275545,6.1444
X12_24S_N_C_0,290,3.320452674,10.62589338,0.905890266,0.585630054,7.65233
X12_2N_H_N_0,412,4.069293133,19.92454701,0.949810653,0.675847426,9.46191
X12_2S_H_C_0,346,3.69505194,16.94561031,0.940987667,0.632017555,7.57936
X12_3N_N_N_1,451,3.850822821,14.21488618,0.929651213,0.630097914,9.68159
X12_3S_N_C_1,271,2.713375126,5.989142247,0.833031182,0.484348014,8.22575
X12_4N_H_N_2,344,2.921366336,5.997781344,0.833271681,0.500179006,6.82732
X12_4S_H_C_2,268,2.51015921,6.114431188,0.836452489,0.448965311,7.61806
X12_5N_H_N_0,228,3.284014941,14.55439614,0.931292237,0.604863858,6.2627
X12_5S_H_C_0,390,3.733514653,14.42355374,0.930668959,0.625783243,10.43264
X12_6N_N_N_1,223,3.196797772,13.66799565,0.926836383,0.591214392,5.66326
X12_6S_N_C_1,269,3.227064954,10.99477397,0.909047698,0.576806333,6.49166
X12_7N_H_N_2,293,2.878031152,6.573528964,0.84787471,0.506680228,5.88482
X12_7S_H_C_2,431,3.99271091,22.63786036,0.955826214,0.658199763,10.08136
X12_8N_N_N_0,333,2.756834043,4.730467335,0.788604396,0.474649864,6.11491
X12_8S_N_C_0,363,3.67452657,13.63089085,0.926637223,0.623392509,9.49357
X12_9N_N_N_2,311,2.859954387,6.093714613,0.835896483,0.49826787,5.75767
X12_9S_N_C_2,470,3.97055479,16.44023399,0.939173615,0.645331918,10.70023
X13_10N_H_N_1,573,4.746393546,38.805275,0.974230308,0.747359307,11.11117
X13_10S_H_C_1,307,3.658243243,17.89209779,0.944109405,0.638788284,4.56358
X13_11N_N_N_0,379,3.138235004,7.080512648,0.858767289,0.52854162,15.64541
X13_11S_N_C_0,405,3.211665716,5.682487308,0.824020724,0.534931067,8.35123
X13_12N_N_N_2,466,4.438129453,40.60436291,0.975372105,0.722329975,9.97941
X13_12S_N_C_2,404,3.827877084,16.50417378,0.939409266,0.637829106,7.00356
X13_13N_N_N_0,432,3.169800621,5.12163016,0.804749666,0.522343164,8.46543
X13_13S_N_C_0,472,4.268741016,25.1858825,0.960295217,0.693317458,8.61407
X13_14N_N_N_2,299,2.364620075,4.314094885,0.768201668,0.414813346,7.24446
X13_14S_N_C_2,363,3.919306603,20.24444701,0.950603738,0.664920046,5.17011
X13_15N_H_N_0,257,3.504220949,14.58666775,0.931444246,0.631496288,7.70847
X13_15S_H_C_0,239,3.098168334,9.780014019,0.897750658,0.565724268,5.6366
X13_16N_H_N_1,270,3.007258942,7.294415853,0.862908831,0.537161894,7.38122
X13_16S_H_C_1,250,2.25502259,2.666307739,0.624949519,0.408410496,5.057
X13_17N_N_N_2,536,4.521828219,39.05730485,0.974396595,0.719562648,9.8558
X13_17S_N_C_2,485,4.29106157,29.51028642,0.966113511,0.693880701,8.53433
X13_18N_H_N_0,172,2.023295954,3.106868041,0.678132451,0.39306423,3.23322
X13_18S_H_C_0,315,3.343435939,9.78806214,0.897834731,0.581207079,7.50315
X13_19N_N_N_1,433,3.069711027,5.707479044,0.824791297,0.505657,10.53973
X13_19S_N_C_1,371,2.463346228,3.17722925,0.685260357,0.416372903,6.66971
X13_1N_H_N_1,242,2.982863415,11.56090658,0.913501593,0.543431819,6.30436
X13_1S_H_C_1,385,3.578721277,13.52587625,0.926067636,0.601138081,8.31626
X13_20N_H_N_1,414,4.216109044,24.62188017,0.959385717,0.699668573,9.32883
X13_20S_H_C_1,284,3.230988345,10.73138749,0.906815405,0.571960184,5.25851
X13_21N_H_N_2,374,3.593537258,13.33716865,0.925021567,0.606580367,8.24176
X13_21S_H_C_2,309,3.028694168,7.169082799,0.860512142,0.528259879,5.9435
X13_22N_H_N_2,342,2.613613263,3.555872148,0.718775041,0.44793454,6.21738
X13_22S_H_C_2,432,3.929213816,20.67468863,0.951631678,0.64748488,10.08829
X13_23N_N_N_1,291,2.649359622,5.80178431,0.827639232,0.466985486,6.36948
X13_23S_N_C_1,551,4.465884928,32.4575097,0.969190489,0.707552688,10.34142
X13_24N_N_N_0,472,4.146878052,23.50253567,0.9574514,0.673524802,9.95781
X13_24S_N_C_0,597,4.602481294,37.66427382,0.973449641,0.720047086,8.81175
X13_2N_H_N_0,497,4.397265225,28.94900376,0.965456497,0.708255048,11.71638
